2020-05-13 14:46:22: [dataHost=localhost1, dataSource=hostM1,statue=ok status -> error status]
2020-05-25 18:06:54: [dataHost=host140, dataSource=hostM1,statue=ok status -> error status]
2020-05-25 18:06:54: [dataHost=host140, dataSource=hostM2,statue=ok status -> error status]
2020-05-25 18:06:54: [dataHost=host141, dataSource=hostM2,statue=ok status -> error status]
2020-05-25 18:06:54: [dataHost=host141, dataSource=hostM1,statue=ok status -> error status]
2020-05-26 16:01:24: [dataHost=host140, dataSource=hostM1,statue=ok status -> error status]
2020-05-26 16:01:24: [dataHost=host140, dataSource=hostM2,statue=ok status -> error status]
2020-05-26 16:02:24: [dataHost=host141, dataSource=hostM2,statue=ok status -> error status]
2020-05-26 16:02:24: [dataHost=host141, dataSource=hostM1,statue=ok status -> error status]
2020-05-26 17:24:22: [dataHost=host140, dataSource=hostM1,statue=ok status -> error status]
2020-05-26 17:24:22: [dataHost=host140, dataSource=hostM2,statue=ok status -> error status]
2020-05-26 17:24:22: [dataHost=host141, dataSource=hostM1,statue=ok status -> error status]
2020-05-26 17:24:22: [dataHost=host141, dataSource=hostM2,statue=ok status -> error status]
2020-05-26 17:24:37: [dataHost=host140, dataSource=hostM1,statue=error status -> ok status]
2020-05-26 17:24:37: [dataHost=host140, dataSource=hostM2,statue=error status -> ok status]
2020-05-26 17:24:37: [dataHost=host141, dataSource=hostM1,statue=error status -> ok status]
2020-05-26 17:24:37: [dataHost=host141, dataSource=hostM2,statue=error status -> ok status]
